RegionType,RegionName,City,State,Metro,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Spokane,Spokane,WA,"Spokane, WA",112,7.55612338017886,92.07,4.9653,3.339,177800,0.736543909348442,8.87936313533374,0.047975253093363,,0.07307229478761,0.031838173653825,58
City,Tacoma,Tacoma,WA,"Seattle, WA",113,6.18543529841212,96,7.0128,4.0188,259100,0.699572483482316,11.8256365990505,0.048097259745272,,0.073259031482079,0.040297317718704,49
City,Grand Rapids,Grand Rapids,MI,"Grand Rapids, MI",114,8.35553933199489,96.08,,,135100,0.595681310498883,10.6470106470106,0.051628423390081,,0.066470401567977,0.016734360365345,50
City,Oceanside,Oceanside,CA,"San Diego, CA",115,8.49151304982661,94.22,3.4284,0.6519,494700,0.712540716612378,5.75032064985036,0.029575500303214,,0.064602403068049,0.021748963750399,53
City,Gainesville,Gainesville,FL,"Gainesville, FL",116,1.36886293119182,70.63,,,164400,0.366300366300366,6.40776699029126,0.023248175182482,,0.111582703070531,0.060752175430819,73
City,Woodbridge,Woodbridge,VA,"Washington, VA",117,2.45482752327067,79.29,4.9039,1.7329,303800,-0.197109067017083,3.22799864084268,0.026349572086899,,0.141190817882697,0.035016159179671,60
City,Ocala,Ocala,FL,"Ocala, FL",118,7.13268844679686,78.43,,,128800,0.625,10.5579399141631,0.046048136645963,,0.141037322611783,0.061298116294996,100.5
City,Glendale,Glendale,CA,"Los Angeles-Long Beach-Anaheim, CA",119,8.15386019346596,98.89,1.3727,1.4371,775400,0.453426609664464,5.03928474668112,0.010483621356719,,0.052685740299394,0.013203409671752,57
City,Boise,Boise,ID,"Boise City, ID",120,6.59153130133236,92.39,,,219700,0.457247370827618,9.03225806451613,0.02893946290396,,0.10508133760295,0.006866823419092,49
City,Greenville,Greenville,SC,"Greenville, SC",121,8.83737908377441,93.71,1.718,0.3406,160800,0.374531835205993,7.63052208835341,0.039359452736318,,0.081459478962897,0.03169109977685,67
City,Birmingham,Birmingham,AL,"Birmingham, AL",122,1.82880087607228,77.92,12.5176,4.7929,63400,0.634920634920635,3.25732899022801,0.032933753943218,,0.207323165322606,0.042353968147126,84
City,Salt Lake City,Salt Lake City,UT,"Salt Lake City, UT",123,2.10713633874795,0,,,287800,0.313698152666434,8.03303303303303,0.023745656706046,,0.127916643823639,0.009080510821532,51
City,Huntington Beach,Huntington Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",124,6.79959846687352,95.24,2.4073,0.8312,764900,0.039236201935653,2.36884368308351,0.003752124460714,,0.040242748297243,0.014954029103315,62
